Parent_Code,Parent_Label,Child_Code,Child_Label
1641,SIDS: Atlantic and Indian Ocean,060,Bermuda
1600,Developing economies excluding China,064,Bhutan
1620,LLDCs (Landlocked developing countries),064,Bhutan
1432,Developing economies: Southern Asia,064,Bhutan
1600,Developing economies excluding China,068,Bolivia (Plurinational State of)
1601,Developing economies excluding LDCs,068,Bolivia (Plurinational State of)
1620,LLDCs (Landlocked developing countries),068,Bolivia (Plurinational State of)
1420,Developing economies: Americas,068,Bolivia (Plurinational State of)
1540,Developed economies: Europe,070,Bosnia and Herzegovina
1600,Developing economies excluding China,072,Botswana
1601,Developing economies excluding LDCs,072,Botswana
1620,LLDCs (Landlocked developing countries),072,Botswana
1412,Developing economies: Sub-Saharan Africa,072,Botswana
1600,Developing economies excluding China,074,Bouvet Island
1601,Developing economies excluding LDCs,074,Bouvet Island
1420,Developing economies: Americas,074,Bouvet Island
1600,Developing economies excluding China,076,Brazil
1601,Developing economies excluding LDCs,076,Brazil
1420,Developing economies: Americas,076,Brazil
1600,Developing economies excluding China,084,Belize
1601,Developing economies excluding LDCs,084,Belize
1420,Developing economies: Americas,084,Belize
1642,SIDS: Caribbean,084,Belize
1600,Developing economies excluding China,086,British Indian Ocean Territory
1601,Developing economies excluding LDCs,086,British Indian Ocean Territory
1412,Developing economies: Sub-Saharan Africa,086,British Indian Ocean Territory
1600,Developing economies excluding China,090,Solomon Islands
1615,LDCs: Islands and Haiti,090,Solomon Islands
1450,Developing economies: Oceania,090,Solomon Islands
1643,SIDS: Pacific,090,Solomon Islands
1600,Developing economies excluding China,092,British Virgin Islands
1601,Developing economies excluding LDCs,092,British Virgin Islands
1420,Developing economies: Americas,092,British Virgin Islands
1642,SIDS: Caribbean,092,British Virgin Islands
1600,Developing economies excluding China,096,Brunei Darussalam
1601,Developing economies excluding LDCs,096,Brunei Darussalam
1435,Developing economies: South-eastern Asia,096,Brunei Darussalam
1540,Developed economies: Europe,100,Bulgaria
1600,Developing economies excluding China,104,Myanmar
1612,LDCs: Asia,104,Myanmar
1435,Developing economies: South-eastern Asia,104,Myanmar
1600,Developing economies excluding China,108,Burundi
1620,LLDCs (Landlocked developing countries),108,Burundi
1614,LDCs: Africa,108,Burundi
1412,Developing economies: Sub-Saharan Africa,108,Burundi
1540,Developed economies: Europe,112,Belarus
1600,Developing economies excluding China,116,Cambodia
1612,LDCs: Asia,116,Cambodia
1435,Developing economies: South-eastern Asia,116,Cambodia
1600,Developing economies excluding China,120,Cameroon
1601,Developing economies excluding LDCs,120,Cameroon
1412,Developing economies: Sub-Saharan Africa,120,Cameroon
1520,Developed economies: Americas,124,Canada
1600,Developing economies excluding China,132,Cabo Verde
1601,Developing economies excluding LDCs,132,Cabo Verde
1641,SIDS: Atlantic and Indian Ocean,132,Cabo Verde
1412,Developing economies: Sub-Saharan Africa,132,Cabo Verde
1600,Developing economies excluding China,136,Cayman Islands
1601,Developing economies excluding LDCs,136,Cayman Islands
1420,Developing economies: Americas,136,Cayman Islands
1642,SIDS: Caribbean,136,Cayman Islands
1600,Developing economies excluding China,140,Central African Republic
1620,LLDCs (Landlocked developing countries),140,Central African Republic
1614,LDCs: Africa,140,Central African Republic
1412,Developing economies: Sub-Saharan Africa,140,Central African Republic
1600,Developing economies excluding China,144,Sri Lanka
1601,Developing economies excluding LDCs,144,Sri Lanka
1432,Developing economies: Southern Asia,144,Sri Lanka
1600,Developing economies excluding China,148,Chad
1620,LLDCs (Landlocked developing countries),148,Chad
1614,LDCs: Africa,148,Chad
1412,Developing economies: Sub-Saharan Africa,148,Chad
1600,Developing economies excluding China,152,Chile
1601,Developing economies excluding LDCs,152,Chile
1420,Developing economies: Americas,152,Chile
1601,Developing economies excluding LDCs,156,China
1433,Developing economies: Eastern Asia,156,China
1600,Developing economies excluding China,158,"China, Taiwan Province of"
1601,Developing economies excluding LDCs,158,"China, Taiwan Province of"
1433,Developing economies: Eastern Asia,158,"China, Taiwan Province of"
1550,Developed economies: Oceania,162,Christmas Island
1550,Developed economies: Oceania,166,Cocos (Keeling) Islands
1600,Developing economies excluding China,170,Colombia
1601,Developing economies excluding LDCs,170,Colombia
1420,Developing economies: Americas,170,Colombia
1600,Developing economies excluding China,174,Comoros
1615,LDCs: Islands and Haiti,174,Comoros
1641,SIDS: Atlantic and Indian Ocean,174,Comoros
1412,Developing economies: Sub-Saharan Africa,174,Comoros
1600,Developing economies excluding China,175,Mayotte
1601,Developing economies excluding LDCs,175,Mayotte
1412,Developing economies: Sub-Saharan Africa,175,Mayotte
1600,Developing economies excluding China,178,Congo
1601,Developing economies excluding LDCs,178,Congo
1412,Developing economies: Sub-Saharan Africa,178,Congo
1600,Developing economies excluding China,180,Dem. Rep. of the Congo
1614,LDCs: Africa,180,Dem. Rep. of the Congo
1412,Developing economies: Sub-Saharan Africa,180,Dem. Rep. of the Congo
1600,Developing economies excluding China,184,Cook Islands
1601,Developing economies excluding LDCs,184,Cook Islands
1450,Developing economies: Oceania,184,Cook Islands
1643,SIDS: Pacific,184,Cook Islands
1600,Developing economies excluding China,188,Costa Rica
1601,Developing economies excluding LDCs,188,Costa Rica
1420,Developing economies: Americas,188,Costa Rica
1540,Developed economies: Europe,191,Croatia
1600,Developing economies excluding China,192,Cuba
1601,Developing economies excluding LDCs,192,Cuba
1420,Developing economies: Americas,192,Cuba
1642,SIDS: Caribbean,192,Cuba
1530,Developed economies: Asia,196,Cyprus
1540,Developed economies: Europe,200,Czechoslovakia
1540,Developed economies: Europe,203,Czechia
1600,Developing economies excluding China,204,Benin
1614,LDCs: Africa,204,Benin
1412,Developing economies: Sub-Saharan Africa,204,Benin
1540,Developed economies: Europe,208,Denmark
1600,Developing economies excluding China,212,Dominica
1601,Developing economies excluding LDCs,212,Dominica
1420,Developing economies: Americas,212,Dominica
1642,SIDS: Caribbean,212,Dominica
1600,Developing economies excluding China,214,Dominican Republic
1601,Developing economies excluding LDCs,214,Dominican Republic
1420,Developing economies: Americas,214,Dominican Republic
1642,SIDS: Caribbean,214,Dominican Republic
1600,Developing economies excluding China,218,Ecuador
1601,Developing economies excluding LDCs,218,Ecuador
1420,Developing economies: Americas,218,Ecuador
1600,Developing economies excluding China,222,El Salvador
1601,Developing economies excluding LDCs,222,El Salvador
1420,Developing economies: Americas,222,El Salvador
1600,Developing economies excluding China,226,Equatorial Guinea
1601,Developing economies excluding LDCs,226,Equatorial Guinea
1412,Developing economies: Sub-Saharan Africa,226,Equatorial Guinea
1600,Developing economies excluding China,230,Ethiopia (...1991)
1620,LLDCs (Landlocked developing countries),230,Ethiopia (...1991)
1614,LDCs: Africa,230,Ethiopia (...1991)
1412,Developing economies: Sub-Saharan Africa,230,Ethiopia (...1991)
1600,Developing economies excluding China,231,Ethiopia
1620,LLDCs (Landlocked developing countries),231,Ethiopia
1614,LDCs: Africa,231,Ethiopia
1412,Developing economies: Sub-Saharan Africa,231,Ethiopia
1600,Developing economies excluding China,232,Eritrea
1614,LDCs: Africa,232,Eritrea
1412,Developing economies: Sub-Saharan Africa,232,Eritrea
1540,Developed economies: Europe,233,Estonia
1540,Developed economies: Europe,234,Faroe Islands
1600,Developing economies excluding China,238,Falkland Islands (Malvinas)
1601,Developing economies excluding LDCs,238,Falkland Islands (Malvinas)
1420,Developing economies: Americas,238,Falkland Islands (Malvinas)
1600,Developing economies excluding China,239,South Georgia and the South Sandwich Islands
1601,Developing economies excluding LDCs,239,South Georgia and the South Sandwich Islands
1420,Developing economies: Americas,239,South Georgia and the South Sandwich Islands
1600,Developing economies excluding China,242,Fiji
1601,Developing economies excluding LDCs,242,Fiji
1450,Developing economies: Oceania,242,Fiji
1643,SIDS: Pacific,242,Fiji
1540,Developed economies: Europe,246,Finland
1540,Developed economies: Europe,248,Aland Islands
1540,Developed economies: Europe,250,France
1600,Developing economies excluding China,254,French Guiana
1601,Developing economies excluding LDCs,254,French Guiana
1420,Developing economies: Americas,254,French Guiana
1600,Developing economies excluding China,258,French Polynesia
1601,Developing economies excluding LDCs,258,French Polynesia
1450,Developing economies: Oceania,258,French Polynesia
1643,SIDS: Pacific,258,French Polynesia
1600,Developing economies excluding China,260,French Southern Territories
1601,Developing economies excluding LDCs,260,French Southern Territories
1412,Developing economies: Sub-Saharan Africa,260,French Southern Territories
1600,Developing economies excluding China,262,Djibouti
1614,LDCs: Africa,262,Djibouti
1412,Developing economies: Sub-Saharan Africa,262,Djibouti
1600,Developing economies excluding China,266,Gabon
1601,Developing economies excluding LDCs,266,Gabon
1412,Developing economies: Sub-Saharan Africa,266,Gabon
1600,Developing economies excluding China,268,Georgia
1601,Developing economies excluding LDCs,268,Georgia
1434,Developing economies: Western Asia,268,Georgia
1600,Developing economies excluding China,270,Gambia
1614,LDCs: Africa,270,Gambia
1412,Developing economies: Sub-Saharan Africa,270,Gambia
1600,Developing economies excluding China,275,State of Palestine
1601,Developing economies excluding LDCs,275,State of Palestine
1434,Developing economies: Western Asia,275,State of Palestine
1540,Developed economies: Europe,276,Germany
1540,Developed economies: Europe,278,Democratic Republic of Germany
1540,Developed economies: Europe,280,Federal Republic of Germany
1600,Developing economies excluding China,288,Ghana
1601,Developing economies excluding LDCs,288,Ghana
1412,Developing economies: Sub-Saharan Africa,288,Ghana
1540,Developed economies: Europe,292,Gibraltar
1600,Developing economies excluding China,296,Kiribati
1615,LDCs: Islands and Haiti,296,Kiribati
1450,Developing economies: Oceania,296,Kiribati
1643,SIDS: Pacific,296,Kiribati
1540,Developed economies: Europe,300,Greece
1520,Developed economies: Americas,304,Greenland
1600,Developing economies excluding China,308,Grenada
1601,Developing economies excluding LDCs,308,Grenada
1420,Developing economies: Americas,308,Grenada
1642,SIDS: Caribbean,308,Grenada
1600,Developing economies excluding China,312,Guadeloupe
1601,Developing economies excluding LDCs,312,Guadeloupe
1420,Developing economies: Americas,312,Guadeloupe
1642,SIDS: Caribbean,312,Guadeloupe
1600,Developing economies excluding China,316,Guam
1601,Developing economies excluding LDCs,316,Guam
1450,Developing economies: Oceania,316,Guam
1643,SIDS: Pacific,316,Guam
1600,Developing economies excluding China,320,Guatemala
1601,Developing economies excluding LDCs,320,Guatemala
1420,Developing economies: Americas,320,Guatemala
1600,Developing economies excluding China,324,Guinea
1614,LDCs: Africa,324,Guinea
1412,Developing economies: Sub-Saharan Africa,324,Guinea
1600,Developing economies excluding China,328,Guyana
1601,Developing economies excluding LDCs,328,Guyana
1420,Developing economies: Americas,328,Guyana
1642,SIDS: Caribbean,328,Guyana
1600,Developing economies excluding China,332,Haiti
1615,LDCs: Islands and Haiti,332,Haiti
1420,Developing economies: Americas,332,Haiti
1642,SIDS: Caribbean,332,Haiti
1550,Developed economies: Oceania,334,Heard Island and McDonald Islands
1540,Developed economies: Europe,336,Holy See
1600,Developing economies excluding China,340,Honduras
1601,Developing economies excluding LDCs,340,Honduras
1420,Developing economies: Americas,340,Honduras
1600,Developing economies excluding China,344,"China, Hong Kong SAR"
1601,Developing economies excluding LDCs,344,"China, Hong Kong SAR"
1433,Developing economies: Eastern Asia,344,"China, Hong Kong SAR"
1540,Developed economies: Europe,348,Hungary
1540,Developed economies: Europe,352,Iceland
1600,Developing economies excluding China,356,India
1601,Developing economies excluding LDCs,356,India
1432,Developing economies: Southern Asia,356,India
1600,Developing economies excluding China,360,Indonesia
1601,Developing economies excluding LDCs,360,Indonesia
1435,Developing economies: South-eastern Asia,360,Indonesia
1600,Developing economies excluding China,364,Iran (Islamic Republic of)
1601,Developing economies excluding LDCs,364,Iran (Islamic Republic of)
1432,Developing economies: Southern Asia,364,Iran (Islamic Republic of)
1600,Developing economies excluding China,368,Iraq
1601,Developing economies excluding LDCs,368,Iraq
1434,Developing economies: Western Asia,368,Iraq
1540,Developed economies: Europe,372,Ireland
1530,Developed economies: Asia,376,Israel
1540,Developed economies: Europe,380,Italy
1600,Developing economies excluding China,384,Cote d'Ivoire
1601,Developing economies excluding LDCs,384,Cote d'Ivoire
1412,Developing economies: Sub-Saharan Africa,384,Cote d'Ivoire
1600,Developing economies excluding China,388,Jamaica
1601,Developing economies excluding LDCs,388,Jamaica
1420,Developing economies: Americas,388,Jamaica
1642,SIDS: Caribbean,388,Jamaica
1530,Developed economies: Asia,392,Japan
1600,Developing economies excluding China,398,Kazakhstan
1601,Developing economies excluding LDCs,398,Kazakhstan
1620,LLDCs (Landlocked developing countries),398,Kazakhstan
1431,Developing economies: Central Asia,398,Kazakhstan
1600,Developing economies excluding China,400,Jordan
1601,Developing economies excluding LDCs,400,Jordan
1434,Developing economies: Western Asia,400,Jordan
1600,Developing economies excluding China,404,Kenya
1601,Developing economies excluding LDCs,404,Kenya
1412,Developing economies: Sub-Saharan Africa,404,Kenya
1600,Developing economies excluding China,408,Dem. People's Rep. of Korea
1601,Developing economies excluding LDCs,408,Dem. People's Rep. of Korea
1433,Developing economies: Eastern Asia,408,Dem. People's Rep. of Korea
1530,Developed economies: Asia,410,"Korea, Republic of"
1540,Developed economies: Europe,412,Kosovo
1600,Developing economies excluding China,414,Kuwait
1601,Developing economies excluding LDCs,414,Kuwait
1434,Developing economies: Western Asia,414,Kuwait
1600,Developing economies excluding China,417,Kyrgyzstan
1601,Developing economies excluding LDCs,417,Kyrgyzstan
1620,LLDCs (Landlocked developing countries),417,Kyrgyzstan
1431,Developing economies: Central Asia,417,Kyrgyzstan
1600,Developing economies excluding China,418,Lao People's Dem. Rep.
1612,LDCs: Asia,418,Lao People's Dem. Rep.
1620,LLDCs (Landlocked developing countries),418,Lao People's Dem. Rep.
1435,Developing economies: South-eastern Asia,418,Lao People's Dem. Rep.
1600,Developing economies excluding China,422,Lebanon
1601,Developing economies excluding LDCs,422,Lebanon
1434,Developing economies: Western Asia,422,Lebanon
1600,Developing economies excluding China,426,Lesotho
1620,LLDCs (Landlocked developing countries),426,Lesotho
1614,LDCs: Africa,426,Lesotho
1412,Developing economies: Sub-Saharan Africa,426,Lesotho
1540,Developed economies: Europe,428,Latvia
1600,Developing economies excluding China,430,Liberia
1614,LDCs: Africa,430,Liberia
1412,Developing economies: Sub-Saharan Africa,430,Liberia
1600,Developing economies excluding China,434,Libya
1601,Developing economies excluding LDCs,434,Libya
1411,Developing economies: Northern Africa,434,Libya
1540,Developed economies: Europe,438,Liechtenstein
1540,Developed economies: Europe,440,Lithuania
1540,Developed economies: Europe,442,Luxembourg
1600,Developing economies excluding China,446,"China, Macao SAR"
1601,Developing economies excluding LDCs,446,"China, Macao SAR"
1433,Developing economies: Eastern Asia,446,"China, Macao SAR"
1600,Developing economies excluding China,450,Madagascar
1614,LDCs: Africa,450,Madagascar
1412,Developing economies: Sub-Saharan Africa,450,Madagascar
1600,Developing economies excluding China,454,Malawi
1620,LLDCs (Landlocked developing countries),454,Malawi
1614,LDCs: Africa,454,Malawi
1412,Developing economies: Sub-Saharan Africa,454,Malawi
1600,Developing economies excluding China,458,Malaysia
1601,Developing economies excluding LDCs,458,Malaysia
1435,Developing economies: South-eastern Asia,458,Malaysia
1600,Developing economies excluding China,462,Maldives
1601,Developing economies excluding LDCs,462,Maldives
1641,SIDS: Atlantic and Indian Ocean,462,Maldives
1432,Developing economies: Southern Asia,462,Maldives
1600,Developing economies excluding China,466,Mali
1620,LLDCs (Landlocked developing countries),466,Mali
1614,LDCs: Africa,466,Mali
1412,Developing economies: Sub-Saharan Africa,466,Mali
1540,Developed economies: Europe,470,Malta
1600,Developing economies excluding China,474,Martinique
1601,Developing economies excluding LDCs,474,Martinique
1420,Developing economies: Americas,474,Martinique
1642,SIDS: Caribbean,474,Martinique
1600,Developing economies excluding China,478,Mauritania
1614,LDCs: Africa,478,Mauritania
1412,Developing economies: Sub-Saharan Africa,478,Mauritania
1600,Developing economies excluding China,480,Mauritius
1601,Developing economies excluding LDCs,480,Mauritius
1641,SIDS: Atlantic and Indian Ocean,480,Mauritius
1412,Developing economies: Sub-Saharan Africa,480,Mauritius
1600,Developing economies excluding China,484,Mexico
1601,Developing economies excluding LDCs,484,Mexico
1420,Developing economies: Americas,484,Mexico
1540,Developed economies: Europe,492,Monaco
1600,Developing economies excluding China,496,Mongolia
1601,Developing economies excluding LDCs,496,Mongolia
1620,LLDCs (Landlocked developing countries),496,Mongolia
1433,Developing economies: Eastern Asia,496,Mongolia
1620,LLDCs (Landlocked developing countries),498,"Moldova, Republic of"
1540,Developed economies: Europe,498,"Moldova, Republic of"
1540,Developed economies: Europe,499,Montenegro
1600,Developing economies excluding China,500,Montserrat
1601,Developing economies excluding LDCs,500,Montserrat
1420,Developing economies: Americas,500,Montserrat
1642,SIDS: Caribbean,500,Montserrat
1600,Developing economies excluding China,504,Morocco
1601,Developing economies excluding LDCs,504,Morocco
1411,Developing economies: Northern Africa,504,Morocco
1600,Developing economies excluding China,508,Mozambique
1614,LDCs: Africa,508,Mozambique
1412,Developing economies: Sub-Saharan Africa,508,Mozambique
1600,Developing economies excluding China,512,Oman
1601,Developing economies excluding LDCs,512,Oman
1434,Developing economies: Western Asia,512,Oman
1600,Developing economies excluding China,516,Namibia
1601,Developing economies excluding LDCs,516,Namibia
1412,Developing economies: Sub-Saharan Africa,516,Namibia
1600,Developing economies excluding China,520,Nauru
1601,Developing economies excluding LDCs,520,Nauru
1450,Developing economies: Oceania,520,Nauru
1643,SIDS: Pacific,520,Nauru
1600,Developing economies excluding China,524,Nepal
1612,LDCs: Asia,524,Nepal
1620,LLDCs (Landlocked developing countries),524,Nepal
1432,Developing economies: Southern Asia,524,Nepal
1540,Developed economies: Europe,528,Netherlands (Kingdom of the)
1600,Developing economies excluding China,530,Netherlands Antilles
1601,Developing economies excluding LDCs,530,Netherlands Antilles
1420,Developing economies: Americas,530,Netherlands Antilles
1642,SIDS: Caribbean,530,Netherlands Antilles
1600,Developing economies excluding China,533,Aruba
1601,Developing economies excluding LDCs,533,Aruba
1420,Developing economies: Americas,533,Aruba
1642,SIDS: Caribbean,533,Aruba
1600,Developing economies excluding China,540,New Caledonia
1601,Developing economies excluding LDCs,540,New Caledonia
1450,Developing economies: Oceania,540,New Caledonia
1643,SIDS: Pacific,540,New Caledonia
1600,Developing economies excluding China,548,Vanuatu
1601,Developing economies excluding LDCs,548,Vanuatu
1450,Developing economies: Oceania,548,Vanuatu
1643,SIDS: Pacific,548,Vanuatu
1550,Developed economies: Oceania,554,New Zealand
1600,Developing economies excluding China,558,Nicaragua
1601,Developing economies excluding LDCs,558,Nicaragua
1420,Developing economies: Americas,558,Nicaragua
1600,Developing economies excluding China,562,Niger
1620,LLDCs (Landlocked developing countries),562,Niger
1614,LDCs: Africa,562,Niger
1412,Developing economies: Sub-Saharan Africa,562,Niger
1600,Developing economies excluding China,566,Nigeria
1601,Developing economies excluding LDCs,566,Nigeria
1412,Developing economies: Sub-Saharan Africa,566,Nigeria
1600,Developing economies excluding China,570,Niue
1601,Developing economies excluding LDCs,570,Niue
1450,Developing economies: Oceania,570,Niue
1643,SIDS: Pacific,570,Niue
1550,Developed economies: Oceania,574,Norfolk Island
1600,Developing economies excluding China,580,Northern Mariana Islands
1601,Developing economies excluding LDCs,580,Northern Mariana Islands
1450,Developing economies: Oceania,580,Northern Mariana Islands
1643,SIDS: Pacific,580,Northern Mariana Islands
1550,Developed economies: Oceania,581,United States Minor Outlying Islands
1600,Developing economies excluding China,582,"Pacific Islands, Trust Territory"
1601,Developing economies excluding LDCs,582,"Pacific Islands, Trust Territory"
1450,Developing economies: Oceania,582,"Pacific Islands, Trust Territory"
1643,SIDS: Pacific,582,"Pacific Islands, Trust Territory"
1600,Developing economies excluding China,583,Micronesia (Federated States of)
1601,Developing economies excluding LDCs,583,Micronesia (Federated States of)
1450,Developing economies: Oceania,583,Micronesia (Federated States of)
1643,SIDS: Pacific,583,Micronesia (Federated States of)
1600,Developing economies excluding China,584,Marshall Islands
1601,Developing economies excluding LDCs,584,Marshall Islands
1450,Developing economies: Oceania,584,Marshall Islands
1643,SIDS: Pacific,584,Marshall Islands
1600,Developing economies excluding China,585,Palau
1601,Developing economies excluding LDCs,585,Palau
1450,Developing economies: Oceania,585,Palau
1643,SIDS: Pacific,585,Palau
1600,Developing economies excluding China,586,Pakistan
1601,Developing economies excluding LDCs,586,Pakistan
1432,Developing economies: Southern Asia,586,Pakistan
1600,Developing economies excluding China,590,"Panama, excluding Canal Zone"
1601,Developing economies excluding LDCs,590,"Panama, excluding Canal Zone"
1420,Developing economies: Americas,590,"Panama, excluding Canal Zone"
1600,Developing economies excluding China,591,Panama
1601,Developing economies excluding LDCs,591,Panama
1420,Developing economies: Americas,591,Panama
1600,Developing economies excluding China,592,"Panama, Canal Zone"
1601,Developing economies excluding LDCs,592,"Panama, Canal Zone"
1420,Developing economies: Americas,592,"Panama, Canal Zone"
1600,Developing economies excluding China,598,Papua New Guinea
1601,Developing economies excluding LDCs,598,Papua New Guinea
1450,Developing economies: Oceania,598,Papua New Guinea
1643,SIDS: Pacific,598,Papua New Guinea
1600,Developing economies excluding China,600,Paraguay
1601,Developing economies excluding LDCs,600,Paraguay
1620,LLDCs (Landlocked developing countries),600,Paraguay
1420,Developing economies: Americas,600,Paraguay
1600,Developing economies excluding China,604,Peru
1601,Developing economies excluding LDCs,604,Peru
1420,Developing economies: Americas,604,Peru
1600,Developing economies excluding China,608,Philippines
1601,Developing economies excluding LDCs,608,Philippines
1435,Developing economies: South-eastern Asia,608,Philippines
1600,Developing economies excluding China,612,Pitcairn
1601,Developing economies excluding LDCs,612,Pitcairn
1450,Developing economies: Oceania,612,Pitcairn
1540,Developed economies: Europe,616,Poland
1540,Developed economies: Europe,620,Portugal
1600,Developing economies excluding China,624,Guinea-Bissau
1614,LDCs: Africa,624,Guinea-Bissau
1641,SIDS: Atlantic and Indian Ocean,624,Guinea-Bissau
1412,Developing economies: Sub-Saharan Africa,624,Guinea-Bissau
1600,Developing economies excluding China,626,Timor-Leste
1615,LDCs: Islands and Haiti,626,Timor-Leste
1643,SIDS: Pacific,626,Timor-Leste
1435,Developing economies: South-eastern Asia,626,Timor-Leste
1600,Developing economies excluding China,630,Puerto Rico
1601,Developing economies excluding LDCs,630,Puerto Rico
1420,Developing economies: Americas,630,Puerto Rico
1642,SIDS: Caribbean,630,Puerto Rico
1600,Developing economies excluding China,634,Qatar
1601,Developing economies excluding LDCs,634,Qatar
1434,Developing economies: Western Asia,634,Qatar
1600,Developing economies excluding China,638,Reunion
1601,Developing economies excluding LDCs,638,Reunion
1412,Developing economies: Sub-Saharan Africa,638,Reunion
1540,Developed economies: Europe,642,Romania
1540,Developed economies: Europe,643,Russian Federation
1600,Developing economies excluding China,646,Rwanda
1620,LLDCs (Landlocked developing countries),646,Rwanda
1614,LDCs: Africa,646,Rwanda
1412,Developing economies: Sub-Saharan Africa,646,Rwanda
1600,Developing economies excluding China,652,Saint Barthelemy
1601,Developing economies excluding LDCs,652,Saint Barthelemy
1420,Developing economies: Americas,652,Saint Barthelemy
1600,Developing economies excluding China,654,Saint Helena
1601,Developing economies excluding LDCs,654,Saint Helena
1412,Developing economies: Sub-Saharan Africa,654,Saint Helena
1600,Developing economies excluding China,659,Saint Kitts and Nevis
1601,Developing economies excluding LDCs,659,Saint Kitts and Nevis
1420,Developing economies: Americas,659,Saint Kitts and Nevis
1642,SIDS: Caribbean,659,Saint Kitts and Nevis
1600,Developing economies excluding China,660,Anguilla
1601,Developing economies excluding LDCs,660,Anguilla
1420,Developing economies: Americas,660,Anguilla
1642,SIDS: Caribbean,660,Anguilla
1600,Developing economies excluding China,662,Saint Lucia
1601,Developing economies excluding LDCs,662,Saint Lucia
1420,Developing economies: Americas,662,Saint Lucia
1642,SIDS: Caribbean,662,Saint Lucia
1600,Developing economies excluding China,663,Saint Martin (French part)
1601,Developing economies excluding LDCs,663,Saint Martin (French part)
1420,Developing economies: Americas,663,Saint Martin (French part)
1520,Developed economies: Americas,666,Saint Pierre and Miquelon
1600,Developing economies excluding China,670,Saint Vincent and the Grenadines
1601,Developing economies excluding LDCs,670,Saint Vincent and the Grenadines
1420,Developing economies: Americas,670,Saint Vincent and the Grenadines
1642,SIDS: Caribbean,670,Saint Vincent and the Grenadines
1540,Developed economies: Europe,674,San Marino
1600,Developing economies excluding China,678,Sao Tome and Principe
1601,Developing economies excluding LDCs,678,Sao Tome and Principe
1641,SIDS: Atlantic and Indian Ocean,678,Sao Tome and Principe
1412,Developing economies: Sub-Saharan Africa,678,Sao Tome and Principe
1600,Developing economies excluding China,682,Saudi Arabia
1601,Developing economies excluding LDCs,682,Saudi Arabia
1434,Developing economies: Western Asia,682,Saudi Arabia
1600,Developing economies excluding China,686,Senegal
1614,LDCs: Africa,686,Senegal
1412,Developing economies: Sub-Saharan Africa,686,Senegal
1540,Developed economies: Europe,688,Serbia
1600,Developing economies excluding China,690,Seychelles
1601,Developing economies excluding LDCs,690,Seychelles
1641,SIDS: Atlantic and Indian Ocean,690,Seychelles
1412,Developing economies: Sub-Saharan Africa,690,Seychelles
1600,Developing economies excluding China,694,Sierra Leone
1614,LDCs: Africa,694,Sierra Leone
1412,Developing economies: Sub-Saharan Africa,694,Sierra Leone
